instrument,tier,solexs_start,solexs_peak,solexs_stop,solexs_peak_flux,goes_class,goes_letter,duration_min,impulsive,baseline_flux,enhancement,goes_match,goes_class_official,goes_peak_official,peak_time_error_min,neupert_lead_min,deriv_peak_time,hel1os_detected,hel1os_peak,hel1os_peak_flux,hel1os_lead_min,dual_confirmed,source,nci,impulsive_duration_s
SoLEXS,B,2024-10-06 10:30:20.000663,2024-10-06 10:33:40.000663,2024-10-06 10:38:52.000663,2.025085207907294e-05,M2.0,M,11.933333333333334,True,3.933878663940014e-06,5.147808005544966,False,,,,2.65,2024-10-06 10:31:01.000663,False,,,,False,SoLEXS-only,0.8998070898085034,201.0
SoLEXS,B,2024-10-06 11:01:59.000663,2024-10-06 11:06:55.000663,2024-10-06 11:15:58.000663,1.3205862304021813e-05,M1.3,M,14.0,True,4.529652351738241e-06,2.9154251316779534,False,,,,0.9,2024-10-06 11:06:01.000663,False,,,,False,SoLEXS-only,0.7945732868976214,297.0
SoLEXS,A,2024-10-06 15:02:38.000663,2024-10-06 15:04:38.000663,2024-10-06 15:08:07.000663,8.147920927062031e-06,C8.1,C,5.5,False,3.640695296523517e-06,2.2380123200209705,False,,,,7.633333333333334,2024-10-06 14:57:00.000663,False,,,,False,SoLEXS-only,0.7611381973198594,121.0
SoLEXS,B,2024-10-06 20:49:15.000663,2024-10-06 20:50:33.000663,2024-10-06 20:52:48.000663,2.9359918200409e-05,M2.9,M,4.45,True,6.9854124062713025e-06,4.203032905265624,False,,,,0.7666666666666667,2024-10-06 20:49:47.000663,False,,,,False,SoLEXS-only,0.9587635800694763,79.0
SoLEXS,B,2024-10-06 22:12:53.000663,2024-10-06 22:14:45.000663,2024-10-06 22:18:27.000663,2.510838445807771e-05,M2.5,M,8.133333333333333,True,5.881390593047035e-06,4.269123783031989,False,,,,1.4,2024-10-06 22:13:21.000663,False,,,,False,SoLEXS-only,0.9681998382273214,113.0
SoLEXS,B,2024-10-07 00:26:27.000663,2024-10-07 00:28:39.000663,2024-10-07 00:32:25.000663,3.4280845262440354e-05,M3.4,M,14.233333333333333,True,5.133537832310838e-06,6.677820711999893,True,M3.5,2024-10-07 00:28:00,0.65001105,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-07 01:49:32.000663,2024-10-07 01:50:57.000663,2024-10-07 01:53:42.000663,1.306884798909339e-05,M1.3,M,4.25,True,4.2453306066803e-06,3.078405240931936,False,,,,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-07 02:27:44.000663,2024-10-07 02:45:26.000663,2024-10-07 02:58:58.000663,3.403135650988412e-05,M3.4,M,31.25,True,4.325766871165644e-06,7.867126806284373,True,M3.4,2024-10-07 02:46:00,-0.5666556166666666,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-07 14:33:22.000663,2024-10-07 14:46:22.000663,2024-10-07 14:47:07.000663,1.1667348329925017e-05,M1.2,M,13.766666666666667,True,5.2139059304703475e-06,2.237736638426943,False,,,,8.933333333333334,2024-10-07 14:37:26.000663,False,,,,False,SoLEXS-only,0.6378852719670907,781.0
SoLEXS,B,2024-10-07 15:56:25.000663,2024-10-07 15:57:17.000663,2024-10-07 15:58:21.000663,1.112474437627812e-05,M1.1,M,1.95,False,5.393251533742332e-06,2.0627156561635003,False,,,,2.066666666666667,2024-10-07 15:55:13.000663,False,,,,False,SoLEXS-only,0.5140387007619867,53.0
SoLEXS,A,2024-10-07 17:40:37.000663,2024-10-07 17:44:43.000663,2024-10-07 17:46:53.000663,9.056578050443081e-06,C9.1,C,6.283333333333333,True,3.885480572597137e-06,2.3308771929824563,False,,,,7.683333333333334,2024-10-07 17:37:02.000663,False,,,,False,SoLEXS-only,0.6569986531678722,247.0
SoLEXS,B,2024-10-07 19:53:55.000663,2024-10-07 20:02:49.000663,2024-10-07 20:03:50.000663,1.1379004771642809e-05,M1.1,M,9.933333333333334,False,5.506475800954328e-06,2.0664768507056204,False,,,,12.316666666666666,2024-10-07 19:50:30.000663,False,,,,False,SoLEXS-only,0.4131683185445471,535.0
SoLEXS,B,2024-10-07 23:36:37.000663,2024-10-08 00:05:19.000663,2024-10-08 00:06:56.000663,2.8371506475800952e-05,M2.8,M,30.333333333333332,True,1.1969052488070891e-05,2.370405385395191,True,M2.8,2024-10-08 00:05:00,0.31667771666666666,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-08 00:35:19.000663,2024-10-08 00:42:56.000663,2024-10-08 01:02:28.000663,0.0005598050443081118,X5.6,X,28.4,True,2.035589638718473e-05,27.500879040656887,True,X5.6,2024-10-08 00:42:00,0.9333443833333334,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-08 14:18:20.000663,2024-10-08 14:20:23.000663,2024-10-08 14:24:23.000663,2.6774369461486027e-05,M2.7,M,7.616666666666666,True,7.076346284935243e-06,3.7836431942972735,False,,,,1.5166666666666666,2024-10-08 14:18:52.000663,False,,,,False,SoLEXS-only,0.9175575518805621,124.0
SoLEXS,A,2024-10-08 17:20:53.000663,2024-10-08 17:23:10.000663,2024-10-08 17:24:23.000663,8.216087252897069e-06,C8.2,C,3.5166666666666666,False,3.846489434219496e-06,2.135996313886723,False,,,,4.283333333333333,2024-10-08 17:18:53.000663,False,,,,False,SoLEXS-only,0.6305397866981884,138.0
SoLEXS,B,2024-10-08 23:18:43.000663,2024-10-08 23:20:00.000663,2024-10-08 23:25:05.000663,1.0121336059986368e-05,M1.0,M,7.95,True,2.985616905248807e-06,3.3900317358843814,False,,,,1.05,2024-10-08 23:18:57.000663,False,,,,False,SoLEXS-only,0.8610519897373572,78.0
SoLEXS,B,2024-10-09 01:50:11.000663,2024-10-09 01:58:42.000663,2024-10-09 02:13:08.000663,1.474164962508521e-05,M1.5,M,25.683333333333334,True,2.6584185412406273e-06,5.5452703915485015,True,M1.5,2024-10-09 01:58:00,0.7000110500000001,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-09 07:01:35.000663,2024-10-09 07:24:08.000663,2024-10-09 07:40:49.000663,0.0004721274710293115,X4.7,X,39.25,True,3.3638718473074303e-06,140.3523952338494,True,X4.5,2024-10-09 07:25:00,-0.8666556166666666,7.883333333333334,2024-10-09 07:16:15.000663,False,,,,False,SoLEXS-only,0.9693246581885475,1354.0
