peak_time,goes_class,goes_letter,duration_min,early_max,early_mean,early_std,rise_30s,rise_60s,rise_3m,deriv_max,deriv_mean,flux_integral,accel_max,target_class
2024-10-09 21:16:46.000663,X3.7,X,22.266666666666666,0.0003655241990456715,0.0002555370895017064,0.00012993089681202712,3.0822149424072705,12.948008031279722,55.126175631406525,3.6394001363326513e-06,1.124545447993349e-06,0.07691666394001363,5.891388320836168e-08,3
2024-10-10 17:28:56.000663,M2.9,M,27.583333333333332,2.6679618268575327e-05,1.933521300278327e-05,5.357343761843996e-06,0.21778109824430328,0.4929398580500561,1.4392230108330217,8.861622358554873e-08,5.8944068110837706e-08,0.005819899113837764,4.20359009316083e-09,2
2024-10-10 20:09:58.000663,M1.3,M,9.65,1.3042944785276074e-05,1.1600103721519045e-05,1.6052753555589524e-06,0.09566504178272989,0.2738509749303622,0.6463266016713091,5.835037491479205e-08,1.4239942082340626e-08,0.0034916312201772326,1.8404907975460173e-09,2
2024-10-10 22:30:04.000663,M2.3,M,17.3,2.2951601908657123e-05,1.7716749666528525e-05,5.208432737912659e-06,0.17494151286716905,0.4569794645178059,1.7274066372064811,1.112019995455577e-07,5.0053140770568474e-08,0.005332741649625086,2.081345148829787e-09,2
2024-10-11 09:02:48.000663,C6.4,C,23.083333333333332,6.374233128834356e-06,4.8703481011941566e-06,1.1469673399056972e-06,0.08724513987671896,0.22617354196301578,0.9004267425320059,2.2222222222222187e-08,1.172184720259136e-08,0.001465974778459441,8.17995910020447e-10,1
2024-10-11 15:49:18.000663,C6.0,C,8.516666666666667,6.029993183367417e-06,5.289161101259831e-06,7.553797606523085e-07,0.3649919706354668,0.7141546226198667,0.9928882771277813,4.035446489434217e-08,6.559246166168934e-09,0.0015920374914792092,2.377706365436463e-09,1
2024-10-11 19:31:31.000663,C6.2,C,10.25,6.1963190184049085e-06,5.658430091016766e-06,5.675095839160312e-07,0.12700490998363353,0.2376432078559739,0.4535188216039283,2.1404226312201816e-08,6.666683072956665e-09,0.0017031874573960465,2.1813224267211565e-09,1
2024-10-11 21:53:33.000663,M5.3,M,32.666666666666664,2.2719836400817997e-05,1.1382668994739189e-05,5.704609141616335e-06,0.19681571815718152,0.45088075880758827,1.9581639566395665,1.0279481935923649e-07,6.072386706127664e-08,0.003426183367416496,2.5539650079527382e-09,2
2024-10-13 14:57:27.000663,A2.0,A,3.1166666666666667,2.0449897750511248e-08,1.6364042837034438e-08,1.1954947297339195e-09,0.14180929095354522,0.28850855745721277,0.09741634127650248,7.11300791322132e-11,4.280543445723877e-12,4.9255768939473655e-06,2.7121186355688696e-11,0
2024-10-13 15:13:45.000663,A2.9,A,5.7,2.8629856850715747e-08,2.7213842499661563e-08,2.2222545981098473e-09,0.9249999999999998,0.9170884389984015,0.8643446989877461,1.3347252611056292e-09,5.466007809770605e-11,8.191366592398131e-06,5.6439811041038035e-11,0
2024-10-14 05:46:45.000663,M9.5,M,27.766666666666666,8.138582140422631e-05,3.794154228010698e-05,2.654746242100256e-05,0.7213393870601585,2.061293984108967,19.271282633371168,4.161326971142922e-07,2.603834785974408e-07,0.011420404226312202,5.026130424903435e-09,2
2024-10-14 07:24:34.000663,C2.4,C,12.483333333333333,2.025903203817314e-06,1.7948759757862344e-06,8.972281064744909e-08,0.08204467353951893,0.07989690721649483,0.1288659793814432,1.0906612133605994e-08,1.4737300382227024e-09,0.0005402576687116565,4.953419677346088e-10,1
2024-10-14 08:53:44.000663,C2.9,C,21.683333333333334,2.2263122017723245e-06,2.059399819279973e-06,1.5683180983010246e-07,0.21297989031078618,0.3226691042047532,0.42915904936014615,1.522381276982504e-08,2.3507774710407112e-09,0.000619879345603272,5.13519654623949e-10,1
2024-10-14 09:44:31.000663,C4.5,C,21.1,4.484662576687117e-06,3.2805802969877735e-06,7.625457937272148e-07,0.807151007987828,1.4005325218714337,0.7748193229364777,5.416950693024312e-08,2.5484285839619974e-09,0.0009874546693933199,7.790437238289897e-10,1
2024-10-14 12:19:13.000663,C3.5,C,7.7,3.5037491479209274e-06,2.813831196624748e-06,5.249584531847586e-07,0.15687037757882424,0.2938886726352664,0.9782016348773841,1.6314473983185634e-08,4.049394625114145e-09,0.0008469631901840491,8.770733924108216e-10,1
2024-10-14 12:34:10.000663,C5.9,C,13.166666666666666,5.466939331970007e-06,3.8689213641417945e-06,8.979044496280818e-07,0.1886391251518834,0.3390036452004861,0.8557108140947751,2.140422631220173e-08,1.0759674528700481e-08,0.0011645453306066802,1.386048625312437e-09,1
2024-10-14 14:53:34.000663,C3.0,C,9.466666666666667,2.6332651670074986e-06,2.369511308589637e-06,1.48900432962106e-07,0.031291172595520354,0.0655467720685111,0.14328063241106717,5.4078618495796245e-09,1.8069114777230235e-09,0.0007132229038854807,5.771415587366546e-10,1
2024-10-14 15:08:25.000663,C4.7,C,11.733333333333333,4.184049079754601e-06,3.7327042102331014e-06,2.3429834326332007e-07,0.027954779033915658,0.07297019527235352,0.1311408016443988,1.0588502613042509e-08,2.7986517825045988e-09,0.0011235439672801636,7.998182231311011e-10,1
2024-10-14 19:13:09.000663,A1.6,A,5.916666666666667,1.6359918200409e-08,8.935982908222684e-09,3.942467474887921e-09,0.0,0.6923076923076923,2.8351351351351344,5.453306066802999e-10,2.300208068726206e-11,2.6897308553750277e-06,5.858408803194078e-11,0
2024-10-14 19:22:56.000663,M1.2,M,33.11666666666667,1.3633265167007498e-08,7.856992754529877e-09,2.640727112753406e-09,2.611111111111111,3.0624999999999996,0.5696296296296297,1.8727012592043265e-09,3.361459564909427e-11,2.364954819113493e-06,5.1136396739668734e-11,2
2024-10-14 23:29:52.000663,C3.8,C,9.416666666666666,3.775051124744376e-06,3.0491884583766453e-06,7.244288848470833e-07,0.1375838926174496,0.3317953020134228,1.2860738255033555,1.995001136105433e-08,6.076681692065779e-09,0.0009178057259713702,6.498523062940217e-10,1
2024-10-15 07:09:05.000663,C3.3,C,3.3666666666666667,3.294478527607362e-06,2.7040403834525675e-06,4.4018307134468374e-07,0.22511061946902663,0.31111725663716827,0.08351769911504428,2.208588957055215e-08,-1.3216837141845021e-09,0.0008139161554192229,4.680754374005896e-10,1
2024-10-15 07:42:24.000663,M4.9,M,28.066666666666666,4.4136332651670084e-05,2.307514827874366e-05,1.3394078347636175e-05,0.4231326298365405,1.2985723153320916,7.640182081522863,1.9350147693705986e-07,1.3614386406071947e-07,0.006945619631901841,2.8720745285162387e-09,2
2024-10-15 09:32:31.000663,C7.3,C,18.683333333333334,5.552828902522155e-06,4.805630855566652e-06,3.9500934077353016e-07,0.08400357462019652,0.16621983914209104,0.32761394101876673,1.7268802544876046e-08,5.588789033121391e-09,0.0014464948875255624,7.952738014087672e-10,1
2024-10-15 10:21:18.000663,M1.7,M,27.833333333333332,1.2612815269256986e-05,8.798415642473284e-06,2.3250208708255093e-06,0.08944983818770243,0.19689320388349515,0.7994822006472493,3.7809588729834094e-08,2.448392101618794e-08,0.0026483231083844583,1.1860940695296617e-09,2
2024-10-15 12:31:30.000663,C9.8,C,25.0,5.259032038173143e-06,4.776464273824811e-06,4.4359204351185107e-07,0.08056265984654723,0.15911582024113993,0.3549506759225429,1.8177686889343204e-08,5.009358841999075e-09,0.0014377157464212681,1.1542831174733033e-09,1
2024-10-15 14:12:08.000663,C6.4,C,10.216666666666667,6.382413087934561e-06,5.4100646108065145e-06,1.0572744441372486e-06,0.1774520856820744,0.3770011273957158,1.0967305524239006,3.403771870029539e-08,9.667268615642916e-09,0.0016284294478527608,6.952965235173782e-10,1
2024-10-15 15:35:25.000663,M3.2,M,26.883333333333333,3.210770279481936e-05,1.911499274175833e-05,1.0249862264505072e-05,0.3736948467497473,0.7803974402155607,5.845402492421692,2.602590320381731e-07,7.439666710246993e-08,0.0057536128152692574,4.194501249715984e-09,2
2024-10-15 16:59:04.000663,C7.5,C,16.25,7.2828902522154055e-06,6.629399388994196e-06,5.485374755854884e-07,0.04944850663031373,0.09046969884744102,0.2683108191845336,1.3447357005639247e-08,6.05818434595147e-09,0.001995449216087253,9.543285616905253e-10,1
2024-10-15 18:34:04.000663,C6.2,C,11.033333333333333,6.23721881390593e-06,5.47018685726062e-06,7.361910006082686e-07,0.08604038630377513,0.20649692712906043,0.5613696224758558,1.722335832765279e-08,7.493066382938878e-09,0.0016465262440354465,7.907293796864336e-10,1
2024-10-15 18:56:56.000663,C7.3,C,7.383333333333334,6.982276755282891e-06,5.954070390223907e-06,7.411211340029669e-07,0.03572429251891285,0.07817315774726825,0.2869151022695432,1.745057941376959e-08,6.899623826203202e-09,0.001792175187457396,8.816178141331525e-10,1
2024-10-15 20:41:02.000663,C5.2,C,14.533333333333333,5.18064076346285e-06,4.6462665914798886e-06,4.868875508261678e-07,0.06952965235173827,0.0985313255251905,0.395984383714445,1.9132015451033845e-08,4.714371304007734e-09,0.0013985262440354466,6.316746194046814e-10,1
2024-10-15 22:02:18.000663,C3.2,C,9.533333333333333,3.186775732788003e-06,2.995029066936614e-06,1.850936061285538e-07,0.06853839801816689,0.14230663363611348,0.23809523809523822,8.679845489661401e-09,2.3404182122495083e-09,0.0009015037491479209,2.294932969779583e-09,1
2024-10-16 07:12:08.000663,C5.8,C,4.7,5.783231083844581e-06,5.0818267669459e-06,3.388385934303967e-07,0.12034342258440052,0.21740395809080335,0.04656577415599539,2.4448988866166795e-08,-2.0899319392336903e-11,0.0015296298568507158,9.34852468594777e-10,1
2024-10-16 07:27:22.000663,C7.7,C,13.066666666666666,5.888888888888888e-06,5.500358948925078e-06,3.577543299964026e-07,0.03487194327883072,0.08160902908406875,0.21154680943423518,1.1588275391956187e-08,3.912515664172925e-09,0.0016556080436264486,1.3178822994774745e-09,1
2024-10-16 08:17:49.000663,C7.1,C,16.833333333333332,7.057259713701432e-06,5.903113230834731e-06,8.882705563977511e-07,0.05091937765205085,0.12384095552412386,0.4733616218764733,1.9313792319927246e-08,9.21837901978169e-09,0.0017768370824812541,7.452851624630798e-10,1
2024-10-16 08:53:13.000663,X1.1,X,33.56666666666667,7.994205862304022e-05,4.560797568658891e-05,2.808085115047148e-05,0.6061090909090909,1.5378909090909096,14.740072727272729,7.882753919563732e-07,1.899954502322367e-07,0.013728000681663261,1.2101795046580283e-08,3
